item,price,location,unit,quantity,date,currency,external_id
Eggs,15.63,sabha,piece,30,2024-11-15,LYD,wfp-hdx:92:2332:2024-11-15
Eggs,18,sabha,piece,30,2024-12-15,LYD,wfp-hdx:92:2332:2024-12-15
Eggs,18,sabha,piece,30,2025-01-15,LYD,wfp-hdx:92:2332:2025-01-15
Eggs,17.63,sabha,piece,30,2025-02-15,LYD,wfp-hdx:92:2332:2025-02-15
Eggs,18.13,sabha,piece,30,2025-03-15,LYD,wfp-hdx:92:2332:2025-03-15
Eggs,15,sabha,piece,30,2025-04-15,LYD,wfp-hdx:92:2332:2025-04-15
Eggs,12.38,sabha,piece,30,2025-05-15,LYD,wfp-hdx:92:2332:2025-05-15
Eggs,13,sabha,piece,30,2025-06-15,LYD,wfp-hdx:92:2332:2025-06-15
Eggs,18,sabha,piece,30,2025-10-15,LYD,wfp-hdx:92:2332:2025-10-15
Eggs,18,sabha,piece,30,2025-11-15,LYD,wfp-hdx:92:2332:2025-11-15
Eggs,20,sabha,piece,30,2025-12-15,LYD,wfp-hdx:92:2332:2025-12-15
Eggs,19,sabha,piece,30,2026-01-15,LYD,wfp-hdx:92:2332:2026-01-15
Eggs,24.5,sabha,piece,30,2026-02-15,LYD,wfp-hdx:92:2332:2026-02-15
Eggs,17,sabha,piece,30,2026-03-15,LYD,wfp-hdx:92:2332:2026-03-15
Eggs,19,sabha,piece,30,2026-04-15,LYD,wfp-hdx:92:2332:2026-04-15
Eggs,21,sabha,piece,30,2026-05-15,LYD,wfp-hdx:92:2332:2026-05-15
Eggs,15,sirte,piece,30,2024-04-15,LYD,wfp-hdx:92:2331:2024-04-15
Eggs,13,sirte,piece,30,2024-05-15,LYD,wfp-hdx:92:2331:2024-05-15
Eggs,17.88,sirte,piece,30,2024-06-15,LYD,wfp-hdx:92:2331:2024-06-15
Eggs,12.38,sirte,piece,30,2024-07-15,LYD,wfp-hdx:92:2331:2024-07-15
Eggs,17.25,sirte,piece,30,2024-08-15,LYD,wfp-hdx:92:2331:2024-08-15
Eggs,20,sirte,piece,30,2024-09-15,LYD,wfp-hdx:92:2331:2024-09-15
Eggs,15,sirte,piece,30,2024-10-15,LYD,wfp-hdx:92:2331:2024-10-15
Eggs,16,sirte,piece,30,2024-11-15,LYD,wfp-hdx:92:2331:2024-11-15
Eggs,18.88,sirte,piece,30,2024-12-15,LYD,wfp-hdx:92:2331:2024-12-15
Eggs,18.88,sirte,piece,30,2025-01-15,LYD,wfp-hdx:92:2331:2025-01-15
Eggs,18.5,sirte,piece,30,2025-02-15,LYD,wfp-hdx:92:2331:2025-02-15
Eggs,10,sirte,piece,30,2025-03-15,LYD,wfp-hdx:92:2331:2025-03-15
Eggs,10.88,sirte,piece,30,2025-04-15,LYD,wfp-hdx:92:2331:2025-04-15
Eggs,12.75,sirte,piece,30,2025-05-15,LYD,wfp-hdx:92:2331:2025-05-15
Eggs,13,sirte,piece,30,2025-06-15,LYD,wfp-hdx:92:2331:2025-06-15
Eggs,18.88,sirte,piece,30,2025-10-15,LYD,wfp-hdx:92:2331:2025-10-15
Eggs,17.12,sirte,piece,30,2025-11-15,LYD,wfp-hdx:92:2331:2025-11-15
Eggs,18.12,sirte,piece,30,2025-12-15,LYD,wfp-hdx:92:2331:2025-12-15
Eggs,20.75,sirte,piece,30,2026-01-15,LYD,wfp-hdx:92:2331:2026-01-15
Eggs,25.25,sirte,piece,30,2026-02-15,LYD,wfp-hdx:92:2331:2026-02-15
Eggs,19.5,sirte,piece,30,2026-03-15,LYD,wfp-hdx:92:2331:2026-03-15
Eggs,20.25,sirte,piece,30,2026-04-15,LYD,wfp-hdx:92:2331:2026-04-15
Eggs,22.12,sirte,piece,30,2026-05-15,LYD,wfp-hdx:92:2331:2026-05-15
Eggs,17,tobruk,piece,30,2024-04-15,LYD,wfp-hdx:92:2333:2024-04-15
Eggs,10,tobruk,piece,30,2024-05-15,LYD,wfp-hdx:92:2333:2024-05-15
Eggs,17,tobruk,piece,30,2024-06-15,LYD,wfp-hdx:92:2333:2024-06-15
